Date,Close
2024-02-27,33.27
2024-02-28,33.03
2024-02-29,33.07
2024-03-01,32.99
2024-03-04,32.89
2024-03-05,33.61
2024-03-06,33.24
2024-03-07,29.73
2024-03-08,29.34
2024-03-11,30.30
2024-03-12,29.94
2024-03-13,29.81
2024-03-14,29.89
2024-03-15,29.91
2024-03-18,29.68
2024-03-19,30.20
2024-03-20,29.38
2024-03-21,29.67
2024-03-22,30.12
2024-03-25,29.84
2024-03-26,30.08
2024-03-27,30.75
2024-03-28,30.99
2024-04-01,31.78
2024-04-02,31.62
2024-04-03,31.17
2024-04-04,31.36
2024-04-05,31.79
2024-04-08,31.87
2024-04-09,32.58
2024-04-10,32.34
2024-04-11,32.05
2024-04-12,32.35
2024-04-15,32.50
2024-04-16,32.74
2024-04-17,32.80
2024-04-18,33.36
2024-04-19,34.15
2024-04-22,34.09
2024-04-23,33.93
2024-04-24,34.75
2024-04-25,35.02
2024-04-26,35.65
2024-04-29,35.54
2024-04-30,35.67
2024-05-02,35.21
2024-05-03,35.45
2024-05-06,35.88
2024-05-07,36.42
2024-05-08,36.78
2024-05-09,36.70
2024-05-10,36.73
2024-05-13,36.07
2024-05-14,33.89
2024-05-15,32.93
2024-05-16,32.38
2024-05-17,32.44
2024-05-20,32.37
2024-05-21,32.82
2024-05-22,32.49
2024-05-23,32.31
2024-05-24,32.67
2024-05-27,33.36
2024-05-28,33.32
2024-05-29,34.24
2024-05-31,34.05
2024-06-03,33.67
2024-06-04,33.72
2024-06-05,33.87
2024-06-06,32.60
2024-06-07,33.10
2024-06-10,33.24
2024-06-11,32.44
2024-06-12,32.11
2024-06-13,31.40
2024-06-14,31.52
2024-06-17,32.51
2024-06-18,32.54
2024-06-19,33.05
2024-06-20,33.25
2024-06-21,33.56
2024-06-24,33.53
2024-06-25,33.59
2024-06-26,34.15
2024-06-27,34.46
2024-06-28,34.98
2024-07-01,34.87
2024-07-02,34.27
2024-07-03,33.79
2024-07-04,33.98
2024-07-05,34.81
2024-07-08,34.80
2024-07-09,34.47
2024-07-10,34.71
2024-07-11,34.55
2024-07-12,34.86
2024-07-15,34.77
2024-07-16,34.95
2024-07-17,34.89
2024-07-18,35.04
2024-07-19,34.34
2024-07-22,33.89
2024-07-23,34.17
2024-07-24,34.12
2024-07-25,34.08
2024-07-26,33.40
2024-07-29,33.19
2024-07-30,33.88
2024-07-31,33.36
2024-08-01,32.35
2024-08-02,32.33
2024-08-05,32.89
2024-08-06,32.84
2024-08-07,33.37
2024-08-08,33.06
2024-08-09,33.81
2024-08-12,33.60
2024-08-13,34.19
2024-08-14,34.72
2024-08-15,34.86
2024-08-16,34.81
2024-08-19,34.67
2024-08-20,34.46
2024-08-21,34.51
2024-08-22,34.30
2024-08-23,36.79
2024-08-26,36.30
2024-08-27,36.82
2024-08-28,36.57
2024-08-29,36.60
2024-08-30,36.26
2024-09-02,35.82
2024-09-03,35.83
2024-09-04,35.61
2024-09-05,34.91
2024-09-06,35.29
2024-09-09,34.71
2024-09-10,34.67
2024-09-11,34.28
2024-09-12,34.12
2024-09-13,34.60
2024-09-16,34.44
2024-09-17,33.61
2024-09-18,33.72
2024-09-19,33.71
2024-09-20,34.06
2024-09-23,34.20
2024-09-24,34.45
2024-09-25,33.70
2024-09-26,33.57
2024-09-27,33.48
2024-09-30,34.37
2024-10-01,34.85
2024-10-02,35.27
2024-10-03,35.18
2024-10-04,35.67
2024-10-07,34.96
2024-10-08,34.61
2024-10-09,35.01
2024-10-10,34.98
2024-10-11,35.06
2024-10-14,34.77
2024-10-15,34.60
2024-10-16,34.34
2024-10-17,34.24
2024-10-18,33.70
2024-10-21,33.57
2024-10-22,33.16
2024-10-23,33.38
2024-10-24,33.61
2024-10-25,33.55
2024-10-28,33.48
2024-10-29,33.33
2024-10-30,33.39
2024-10-31,32.93
2024-11-01,33.01
2024-11-04,32.90
2024-11-05,32.91
2024-11-06,33.02
2024-11-07,33.64
2024-11-08,33.70
2024-11-11,34.34
2024-11-12,34.29
2024-11-13,34.65
2024-11-14,35.52
2024-11-18,35.14
2024-11-19,35.25
2024-11-21,36.65
2024-11-22,36.43
2024-11-25,36.38
2024-11-26,36.25
2024-11-27,35.88
2024-11-28,36.17
2024-11-29,36.40
2024-12-02,36.73
2024-12-03,36.49
2024-12-04,36.86
2024-12-05,36.29
2024-12-06,37.23
2024-12-09,37.37
2024-12-10,37.74
2024-12-11,37.06
2024-12-12,36.83
2024-12-13,36.68
2024-12-16,37.03
2024-12-17,36.07
2024-12-18,35.92
2024-12-19,35.62
2024-12-20,35.63
2024-12-23,35.77
2024-12-26,35.66
2024-12-27,36.19
2024-12-30,36.77
2025-01-02,36.38
2025-01-03,36.21
2025-01-06,36.98
2025-01-07,36.68
2025-01-08,36.84
2025-01-09,36.94
2025-01-10,37.07
2025-01-13,36.82
2025-01-14,37.29
2025-01-15,37.05
2025-01-16,37.20
2025-01-17,37.29
2025-01-20,37.30
2025-01-21,37.09
2025-01-22,36.83
2025-01-23,36.64
2025-01-24,37.18
2025-01-27,37.13
2025-01-28,36.90
2025-01-29,37.39
2025-01-30,37.69
2025-01-31,37.50
2025-02-03,37.13
2025-02-04,36.86
2025-02-05,36.79
2025-02-06,36.58
2025-02-07,36.83
2025-02-10,36.83
2025-02-11,36.28
2025-02-12,36.32
2025-02-13,37.44
2025-02-14,37.67
2025-02-17,38.36
2025-02-18,38.39
2025-02-19,38.44
2025-02-20,38.50
2025-02-21,38.39
2025-02-24,38.12
