Date,Close
2024-02-27,61.50
2024-02-28,61.73
2024-02-29,61.63
2024-03-01,61.49
2024-03-04,60.68
2024-03-05,61.51
2024-03-06,61.30
2024-03-07,60.83
2024-03-08,58.94
2024-03-11,58.57
2024-03-12,58.95
2024-03-13,58.20
2024-03-14,57.53
2024-03-15,58.63
2024-03-18,59.11
2024-03-19,59.51
2024-03-20,59.36
2024-03-21,58.68
2024-03-22,58.55
2024-03-25,57.81
2024-03-26,58.34
2024-03-27,58.56
2024-03-28,58.94
2024-04-01,59.63
2024-04-02,58.78
2024-04-03,58.12
2024-04-04,57.49
2024-04-05,60.62
2024-04-08,60.22
2024-04-09,59.31
2024-04-10,59.56
2024-04-11,59.33
2024-04-12,59.68
2024-04-15,59.15
2024-04-16,59.80
2024-04-17,60.02
2024-04-18,61.00
2024-04-19,60.97
2024-04-22,60.44
2024-04-23,61.19
2024-04-24,59.90
2024-04-25,60.40
2024-04-26,61.52
2024-04-29,60.93
2024-04-30,61.54
2024-05-02,61.61
2024-05-03,61.79
2024-05-06,62.17
2024-05-07,61.61
2024-05-08,62.11
2024-05-09,61.90
2024-05-10,62.26
2024-05-13,62.22
2024-05-14,62.04
2024-05-15,62.49
2024-05-16,63.71
2024-05-17,63.69
2024-05-20,63.50
2024-05-21,63.00
2024-05-22,62.63
2024-05-23,62.66
2024-05-24,62.87
2024-05-27,61.51
2024-05-28,60.88
2024-05-29,60.85
2024-05-31,59.57
2024-06-03,58.96
2024-06-04,58.12
2024-06-05,58.93
2024-06-06,58.16
2024-06-07,58.80
2024-06-10,58.71
2024-06-11,57.90
2024-06-12,58.56
2024-06-13,58.36
2024-06-14,58.13
2024-06-17,58.40
2024-06-18,58.58
2024-06-19,59.11
2024-06-20,58.56
2024-06-21,58.63
2024-06-24,58.39
2024-06-25,59.11
2024-06-26,59.27
2024-06-27,59.90
2024-06-28,60.79
2024-07-01,60.59
2024-07-02,61.79
2024-07-03,61.48
2024-07-04,61.23
2024-07-05,60.75
2024-07-08,60.67
2024-07-09,59.85
2024-07-10,59.70
2024-07-11,60.58
2024-07-12,60.64
2024-07-15,60.01
2024-07-16,59.45
2024-07-17,58.89
2024-07-18,58.84
2024-07-19,58.78
2024-07-22,57.99
2024-07-23,58.34
2024-07-24,58.31
2024-07-25,59.18
2024-07-26,59.29
2024-07-29,57.98
2024-07-30,59.33
2024-07-31,58.01
2024-08-01,57.20
2024-08-02,56.59
2024-08-05,56.88
2024-08-06,56.77
2024-08-07,56.42
2024-08-08,56.63
2024-08-09,56.34
2024-08-12,56.09
2024-08-13,55.58
2024-08-14,55.81
2024-08-15,55.66
2024-08-16,56.55
2024-08-19,56.77
2024-08-20,57.86
2024-08-21,57.94
2024-08-22,56.97
2024-08-23,57.61
2024-08-26,59.35
2024-08-27,58.92
2024-08-28,58.85
2024-08-29,59.13
2024-08-30,58.30
2024-09-02,56.12
2024-09-03,56.56
2024-09-04,56.97
2024-09-05,56.25
2024-09-06,56.25
2024-09-09,55.58
2024-09-10,57.16
2024-09-11,57.67
2024-09-12,58.06
2024-09-13,58.06
2024-09-16,57.78
2024-09-17,57.11
2024-09-18,57.79
2024-09-19,56.92
2024-09-20,57.10
2024-09-23,59.89
2024-09-24,60.15
2024-09-25,63.77
2024-09-26,63.48
2024-09-27,63.03
2024-09-30,63.34
2024-10-01,63.69
2024-10-02,62.47
2024-10-03,62.01
2024-10-04,62.56
2024-10-07,60.66
2024-10-08,60.50
2024-10-09,60.79
2024-10-10,61.66
2024-10-11,61.46
2024-10-14,60.71
2024-10-15,61.87
2024-10-16,60.30
2024-10-17,60.09
2024-10-18,59.88
2024-10-21,59.96
2024-10-22,58.90
2024-10-23,59.25
2024-10-24,61.27
2024-10-25,62.41
2024-10-28,62.19
2024-10-29,62.00
2024-10-30,61.59
2024-10-31,61.56
2024-11-01,62.20
2024-11-04,61.65
2024-11-05,60.96
2024-11-06,63.08
2024-11-07,60.17
2024-11-08,58.21
2024-11-11,56.89
2024-11-12,56.73
2024-11-13,56.41
2024-11-14,57.12
2024-11-18,57.25
2024-11-19,57.19
2024-11-21,57.74
2024-11-22,57.73
2024-11-25,57.00
2024-11-26,57.69
2024-11-27,57.10
2024-11-28,58.34
2024-11-29,58.48
2024-12-02,58.03
2024-12-03,56.90
2024-12-04,57.37
2024-12-05,56.38
2024-12-06,59.38
2024-12-09,59.32
2024-12-10,58.40
2024-12-11,56.71
2024-12-12,55.86
2024-12-13,55.83
2024-12-16,56.11
2024-12-17,54.81
2024-12-18,53.77
2024-12-19,54.62
2024-12-20,54.85
2024-12-23,55.01
2024-12-26,54.74
2024-12-27,54.55
2024-12-30,54.25
2025-01-02,53.24
2025-01-03,52.56
2025-01-06,52.05
2025-01-07,51.55
2025-01-08,51.23
2025-01-09,51.52
2025-01-10,51.51
2025-01-13,51.85
2025-01-14,52.60
2025-01-15,52.67
2025-01-16,54.49
2025-01-17,54.29
2025-01-20,54.02
2025-01-21,52.66
2025-01-22,52.32
2025-01-23,53.03
2025-01-24,53.96
2025-01-27,52.65
2025-01-28,52.80
2025-01-29,55.03
2025-01-30,54.17
2025-01-31,54.21
2025-02-03,54.02
2025-02-04,54.31
2025-02-05,55.13
2025-02-06,54.83
2025-02-07,55.40
2025-02-10,55.16
2025-02-11,54.79
2025-02-12,54.86
2025-02-13,55.67
2025-02-14,55.37
2025-02-17,55.74
2025-02-18,58.16
2025-02-19,55.69
2025-02-20,57.74
2025-02-21,58.16
2025-02-24,57.63
