Date,Close
2025-02-26,28.07
2025-02-25,28.23
2025-02-24,27.81
2025-02-21,27.98
2025-02-20,28.23
2025-02-19,28.00
2025-02-18,28.86
2025-02-17,29.45
2025-02-14,29.16
2025-02-13,28.75
2025-02-12,27.45
2025-02-11,27.60
2025-02-10,28.06
2025-02-07,27.82
2025-02-06,27.78
2025-02-05,28.15
2025-02-04,27.83
2025-02-03,27.77
2025-01-31,27.61
2025-01-30,27.68
2025-01-29,27.64
2025-01-28,27.44
2025-01-27,27.53
2025-01-24,27.71
2025-01-23,26.62
2025-01-22,26.72
2025-01-21,26.13
2025-01-20,25.66
2025-01-17,25.43
2025-01-16,25.35
2025-01-15,25.38
2025-01-14,25.27
2025-01-13,24.65
2025-01-10,24.21
2025-01-09,24.21
2025-01-08,24.27
2025-01-07,24.16
2025-01-06,24.25
2025-01-03,23.96
2025-01-02,23.74
2024-12-30,23.92
2024-12-27,24.17
2024-12-26,24.11
2024-12-23,24.20
2024-12-20,23.92
2024-12-19,24.08
2024-12-18,23.89
2024-12-17,23.74
2024-12-16,24.42
2024-12-13,24.16
2024-12-12,24.51
2024-12-11,24.85
2024-12-10,25.21
2024-12-09,24.68
2024-12-06,24.52
2024-12-05,24.58
2024-12-04,25.33
2024-12-03,25.02
2024-12-02,24.72
2024-11-29,24.42
2024-11-28,24.62
2024-11-27,24.34
2024-11-26,25.07
2024-11-25,25.52
2024-11-22,25.19
2024-11-21,25.04
2024-11-19,24.71
2024-11-18,25.29
2024-11-14,25.15
2024-11-13,24.82
2024-11-12,25.38
2024-11-11,25.38
2024-11-08,25.44
2024-11-07,25.42
2024-11-06,25.62
2024-11-05,25.73
2024-11-04,25.68
2024-11-01,25.67
2024-10-31,25.52
2024-10-30,25.76
2024-10-29,25.80
2024-10-28,25.60
2024-10-25,25.75
2024-10-24,25.80
2024-10-23,25.79
2024-10-22,25.76
2024-10-21,25.73
2024-10-18,26.04
2024-10-17,26.11
2024-10-16,26.14
2024-10-15,26.18
2024-10-14,25.89
2024-10-11,25.94
2024-10-10,25.76
2024-10-09,25.63
2024-10-08,25.85
2024-10-07,26.39
2024-10-04,26.40
2024-10-03,26.28
2024-10-02,26.31
2024-10-01,26.56
2024-09-30,26.49
2024-09-27,26.59
2024-09-26,26.66
2024-09-25,26.88
2024-09-24,26.71
2024-09-23,26.78
2024-09-20,26.80
2024-09-19,26.90
2024-09-18,27.30
2024-09-17,27.63
2024-09-16,27.77
2024-09-13,27.95
2024-09-12,27.80
2024-09-11,27.62
2024-09-10,27.93
2024-09-09,27.92
2024-09-06,28.34
2024-09-05,27.99
2024-09-04,28.46
2024-09-03,28.20
2024-09-02,27.90
2024-08-30,27.65
2024-08-29,27.36
2024-08-28,27.53
2024-08-27,27.41
2024-08-26,27.25
2024-08-23,27.56
2024-08-22,27.45
2024-08-21,27.25
2024-08-20,27.92
2024-08-19,28.05
2024-08-16,27.92
2024-08-15,27.20
2024-08-14,26.98
2024-08-13,26.77
2024-08-12,26.33
2024-08-09,26.00
2024-08-08,25.45
2024-08-07,25.11
2024-08-06,25.21
2024-08-05,25.55
2024-08-02,25.12
2024-08-01,25.08
2024-07-31,25.28
2024-07-30,25.45
2024-07-29,25.83
2024-07-26,26.04
2024-07-25,26.00
2024-07-24,25.78
2024-07-23,25.76
2024-07-22,25.86
2024-07-19,26.02
2024-07-18,25.99
2024-07-17,26.06
2024-07-16,26.18
2024-07-15,25.92
2024-07-12,25.83
2024-07-11,25.72
2024-07-10,25.38
2024-07-09,25.51
2024-07-08,25.12
2024-07-05,25.20
2024-07-04,25.62
2024-07-03,25.74
2024-07-02,25.60
2024-07-01,25.35
2024-06-28,25.27
2024-06-27,25.60
2024-06-26,25.59
2024-06-25,25.60
2024-06-24,25.78
2024-06-21,25.70
2024-06-20,25.51
2024-06-19,25.30
2024-06-18,25.18
2024-06-17,25.00
2024-06-14,25.35
2024-06-13,25.35
2024-06-12,25.45
2024-06-11,25.28
2024-06-10,25.81
2024-06-07,25.52
2024-06-06,25.50
2024-06-05,25.94
2024-06-04,25.60
2024-06-03,25.54
2024-05-31,25.47
2024-05-29,25.44
2024-05-28,25.63
2024-05-27,25.63
2024-05-24,25.71
2024-05-23,25.40
2024-05-22,25.27
2024-05-21,25.80
2024-05-20,26.17
2024-05-17,26.19
2024-05-16,25.97
2024-05-15,25.96
2024-05-14,25.94
2024-05-13,26.27
2024-05-10,26.11
