Date,Close
2025-02-26,35.66
2025-02-25,35.42
2025-02-24,35.11
2025-02-21,35.03
2025-02-20,35.42
2025-02-19,35.20
2025-02-18,34.89
2025-02-17,34.30
2025-02-14,34.33
2025-02-13,34.40
2025-02-12,33.80
2025-02-11,33.28
2025-02-10,34.12
2025-02-07,33.88
2025-02-06,34.04
2025-02-05,34.09
2025-02-04,34.30
2025-02-03,34.71
2025-01-31,34.63
2025-01-30,34.38
2025-01-29,34.42
2025-01-28,33.70
2025-01-27,33.96
2025-01-24,33.82
2025-01-23,32.96
2025-01-22,33.15
2025-01-21,33.07
2025-01-20,33.06
2025-01-17,33.31
2025-01-16,33.24
2025-01-15,32.64
2025-01-14,32.71
2025-01-13,32.37
2025-01-10,32.02
2025-01-09,31.64
2025-01-08,31.95
2025-01-07,31.69
2025-01-06,31.82
2025-01-03,31.58
2025-01-02,31.00
2024-12-30,31.42
2024-12-27,31.59
2024-12-26,31.55
2024-12-23,31.49
2024-12-20,31.30
2024-12-19,32.51
2024-12-18,32.00
2024-12-17,31.69
2024-12-16,32.17
2024-12-13,31.61
2024-12-12,32.00
2024-12-11,32.13
2024-12-10,32.65
2024-12-09,32.25
2024-12-06,31.94
2024-12-05,32.03
2024-12-04,32.28
2024-12-03,32.09
2024-12-02,32.37
2024-11-29,32.22
2024-11-28,32.62
2024-11-27,33.27
2024-11-26,32.90
2024-11-25,33.70
2024-11-22,33.15
2024-11-21,32.98
2024-11-19,32.47
2024-11-18,32.50
2024-11-14,32.26
2024-11-13,32.36
2024-11-12,32.43
2024-11-11,32.51
2024-11-08,32.31
2024-11-07,32.37
2024-11-06,32.35
2024-11-05,32.56
2024-11-04,32.87
2024-11-01,32.90
2024-10-31,32.42
2024-10-30,32.77
2024-10-29,32.74
2024-10-28,32.55
2024-10-25,32.93
2024-10-24,32.71
2024-10-23,33.04
2024-10-22,32.81
2024-10-21,32.73
2024-10-18,32.70
2024-10-17,32.60
2024-10-16,32.71
2024-10-15,32.87
2024-10-14,32.77
2024-10-11,32.67
2024-10-10,32.52
2024-10-09,32.65
2024-10-08,32.88
2024-10-07,34.04
2024-10-04,34.00
2024-10-03,34.01
2024-10-02,33.81
2024-10-01,33.95
2024-09-30,33.86
2024-09-27,33.93
2024-09-26,33.76
2024-09-25,33.42
2024-09-24,33.21
2024-09-23,33.24
2024-09-20,33.34
2024-09-19,33.38
2024-09-18,33.47
2024-09-17,33.75
2024-09-16,34.02
2024-09-13,34.26
2024-09-12,34.00
2024-09-11,33.81
2024-09-10,34.07
2024-09-09,34.25
2024-09-06,34.47
2024-09-05,34.65
2024-09-04,34.74
2024-09-03,34.37
2024-09-02,33.54
2024-08-30,33.22
2024-08-29,34.09
2024-08-28,32.86
2024-08-27,33.04
2024-08-26,32.91
2024-08-23,33.83
2024-08-22,33.77
2024-08-21,33.66
2024-08-20,33.60
2024-08-19,33.25
2024-08-16,33.20
2024-08-15,33.42
2024-08-14,33.33
2024-08-13,33.77
2024-08-12,33.45
2024-08-09,33.05
2024-08-08,33.10
2024-08-07,32.91
2024-08-06,32.90
2024-08-05,32.84
2024-08-02,32.28
2024-08-01,33.18
2024-07-31,32.85
2024-07-30,32.48
2024-07-29,32.69
2024-07-26,32.88
2024-07-25,32.80
2024-07-24,32.31
2024-07-23,32.98
2024-07-22,32.80
2024-07-19,33.25
2024-07-18,32.88
2024-07-17,33.32
2024-07-16,33.70
2024-07-15,33.46
2024-07-12,33.19
2024-07-11,33.79
2024-07-10,33.71
2024-07-09,33.46
2024-07-08,33.37
2024-07-05,33.46
2024-07-04,33.08
2024-07-03,33.34
2024-07-02,33.09
2024-07-01,32.64
2024-06-28,32.80
2024-06-27,32.73
2024-06-26,33.13
2024-06-25,32.52
2024-06-24,32.63
2024-06-21,32.69
2024-06-20,32.63
2024-06-19,32.51
2024-06-18,32.44
2024-06-17,32.30
2024-06-14,32.35
2024-06-13,32.73
2024-06-12,32.54
2024-06-11,32.66
2024-06-10,33.02
2024-06-07,32.85
2024-06-06,33.34
2024-06-05,34.25
2024-06-04,34.23
2024-06-03,34.65
2024-05-31,34.40
2024-05-29,34.10
2024-05-28,34.00
2024-05-27,34.60
2024-05-24,34.84
2024-05-23,35.01
2024-05-22,34.76
2024-05-21,34.74
2024-05-20,34.90
2024-05-17,34.10
2024-05-16,34.21
2024-05-15,34.10
2024-05-14,34.04
2024-05-13,34.03
2024-05-10,33.04
