stock1,stock2,suggested_position,current_zscore,p_value,confidence_level,beta
VALE3,RENT3,"Long RENT3, Short 1.24x VALE3",-2.3651738685595918,0.04704000178625908,90%,1.2405192533915534
PETR4,EMBR3,"Short EMBR3, Long 3.93x PETR4",2.6392812594939246,0.027358127955961965,95%,3.9331751077832338
PETR4,RENT3,"Long RENT3, Short -2.42x PETR4",-2.1140978150815415,0.022995811668690105,95%,-2.422868280133736
PETR4,BBSE3,"Short BBSE3, Long 1.04x PETR4",2.590335938247542,0.07769785411886161,90%,1.0365572231222488
ITSA4,BBDC4,"Long BBDC4, Short 2.33x ITSA4",-2.1422700459509194,0.0647682791733402,90%,2.329218031617701
NTCO3,RADL3,"Long RADL3, Short 1.50x NTCO3",-2.4238453071678876,0.08506168257748686,90%,1.4952308870781816
SLCE3,RADL3,"Long RADL3, Short -0.28x SLCE3",-2.3471934670441756,0.02546299343996694,95%,-0.2766071614519228
PETR3,EMBR3,"Short EMBR3, Long 3.10x PETR3",3.43840018775874,0.02813321936991127,95%,3.102611458631224
MGLU3,EMBR3,"Short EMBR3, Long -2.81x MGLU3",2.6563736508722586,0.05512612580040506,90%,-2.813950617641461
EMBR3,AZUL4,"Short AZUL4, Long -0.21x EMBR3",2.2482069707572627,0.06903414625027744,90%,-0.21306600214061747
AZUL4,EMBR3,"Short EMBR3, Long -3.76x AZUL4",3.08195503350479,0.012495031006748347,95%,-3.756374723373605
STBP3,EMBR3,"Short EMBR3, Long 6.87x STBP3",2.4643130548419725,0.057960560282419867,90%,6.870394629557139
SLCE3,EMBR3,"Short EMBR3, Long -1.71x SLCE3",2.4753600536927904,0.030772622220244874,95%,-1.705972974121944
AURE3,EMBR3,"Short EMBR3, Long -5.13x AURE3",2.43822062126045,0.021051532071609605,95%,-5.128185149346581
UGPA3,HAPV3,"Long HAPV3, Short 0.29x UGPA3",-2.1443281550621993,0.013823414765793558,95%,0.29160975825739033
PETR3,CSAN3,"Long CSAN3, Short -0.79x PETR3",-2.0490490569272297,0.09986604035839247,0%,-0.7876515936213919
PETR3,RENT3,"Long RENT3, Short -1.75x PETR3",-2.51803518872163,0.08625307050894893,90%,-1.753914077349119
PETR3,BBSE3,"Short BBSE3, Long 0.82x PETR3",3.324263697885098,0.07990018083723571,90%,0.8202809381428242
SLCE3,RENT3,"Long RENT3, Short -0.68x SLCE3",-2.0971579810955774,0.02551746153045364,95%,-0.6818529242881397
NTCO3,BBSE3,"Short BBSE3, Long -1.62x NTCO3",2.885091109498572,0.005395966114091174,99%,-1.6193265719666123
ITSA4,MULT3,"Long MULT3, Short 3.11x ITSA4",-2.250744399801513,0.07210079293524209,90%,3.107941754610354
MGLU3,ONCO3,"Short ONCO3, Long 0.71x MGLU3",2.294966851229068,0.0014413640648794582,99%,0.7087981325817828
ONCO3,MGLU3,"Long MGLU3, Short 1.10x ONCO3",-2.565659363006563,0.0018818756569448532,99%,1.099415345007262
AZUL4,BBSE3,"Short BBSE3, Long -0.90x AZUL4",2.467208260052427,0.09756187908675801,0%,-0.895958165805597
SLCE3,BBSE3,"Short BBSE3, Long 0.01x SLCE3",2.4177817158407353,0.026868262612214998,95%,0.00919065798194528
ONCO3,AZUL4,"Long AZUL4, Short 0.84x ONCO3",-2.289852216996151,0.0809984101300219,90%,0.8444967397045385
SLCE3,TOTS3,"Short TOTS3, Long 0.20x SLCE3",3.0899683347698184,0.025813146262280595,95%,0.19858507593320554
SLCE3,MRVE3,"Long MRVE3, Short -0.30x SLCE3",-2.0079896946478244,0.01954098780267639,95%,-0.29998347722735336
ONCO3,MRFG3,"Short MRFG3, Long -1.11x ONCO3",2.10501095927822,0.007396892301216552,99%,-1.1071101345604613
ONCO3,UGPA3,"Long UGPA3, Short 1.23x ONCO3",-2.6426035510015953,0.06745710423281254,90%,1.2257432416184062
UGPA3,AZZA3,"Long AZZA3, Short 2.67x UGPA3",-2.218357506730793,0.04564340059080613,95%,2.666420595827266
ONCO3,HYPE3,"Long HYPE3, Short 1.98x ONCO3",-2.4826450400991344,0.03340851964787362,95%,1.9797338370995152
ONCO3,AZZA3,"Long AZZA3, Short 3.48x ONCO3",-4.09489917163922,0.0011019815695925692,99%,3.475915186141655
ONCO3,AURE3,"Long AURE3, Short 0.68x ONCO3",-3.895278222526298,0.044088221782090105,95%,0.6821887995879264
CMIG4,POMO4,"Long POMO4, Short 0.88x CMIG4",-2.1393722469976852,0.0936313568844851,90%,0.8849188646508119
POMO4,CMIG4,"Short CMIG4, Long 0.90x POMO4",2.3326558227222955,0.06594414087084338,90%,0.899691295029685
