current_date,bought_ticker,bought_quantity,bought_price,bought_amount,sold_ticker,sold_quantity,sold_price,sold_amount,confidence_level,p_value,zscore
2025-02-28,RENT3,1000,27.6,27600.0,VALE3,1240,56.3,69812.0,90%,0.047,-2.37
2025-02-28,PETR4,3933,36.61,143987.13,EMBR3,1000,68.9,68900.0,95%,0.0274,2.64
2025-02-28,RENT3,1000,27.6,27600.0,PETR4,-2422,36.61,-88669.42,95%,0.023,-2.11
2025-02-28,PETR4,1036,36.61,37927.96,BBSE3,1000,38.45,38450.0,90%,0.0777,2.59
2025-02-28,BBDC4,1000,11.47,11470.0,ITSA4,2329,9.02,21007.58,90%,0.0648,-2.14
2025-02-28,RADL3,1000,18.45,18450.0,NTCO3,1495,13.43,20077.85,90%,0.0851,-2.42
2025-02-28,RADL3,1000,18.45,18450.0,SLCE3,-276,18.17,-5014.92,95%,0.0255,-2.35
2025-02-28,PETR3,3102,39.24,121722.48,EMBR3,1000,68.9,68900.0,95%,0.0281,3.44
2025-02-28,MGLU3,-2813,7.31,-20563.03,EMBR3,1000,68.9,68900.0,90%,0.0551,2.66
2025-02-28,EMBR3,-213,68.9,-14675.7,AZUL4,1000,3.88,3880.0,90%,0.069,2.25
2025-02-28,AZUL4,-3756,3.88,-14573.28,EMBR3,1000,68.9,68900.0,95%,0.0125,3.08
2025-02-28,STBP3,6870,13.33,91577.1,EMBR3,1000,68.9,68900.0,90%,0.058,2.46
2025-02-28,SLCE3,-1705,18.17,-30979.85,EMBR3,1000,68.9,68900.0,95%,0.0308,2.48
2025-02-28,AURE3,-5128,7.96,-40818.88,EMBR3,1000,68.9,68900.0,95%,0.0211,2.44
2025-02-28,HAPV3,1000,2.12,2120.0,UGPA3,291,17.1,4976.1,95%,0.0138,-2.14
2025-02-28,CSAN3,1000,7.24,7240.0,PETR3,-787,39.24,-30881.88,0%,0.0999,-2.05
2025-02-28,RENT3,1000,27.6,27600.0,PETR3,-1753,39.24,-68787.72,90%,0.0863,-2.52
2025-02-28,PETR3,820,39.24,32176.8,BBSE3,1000,38.45,38450.0,90%,0.0799,3.32
2025-02-28,RENT3,1000,27.6,27600.0,SLCE3,-681,18.17,-12373.77,95%,0.0255,-2.1
2025-02-28,NTCO3,-1619,13.43,-21743.17,BBSE3,1000,38.45,38450.0,99%,0.0054,2.89
2025-02-28,MULT3,1000,21.54,21540.0,ITSA4,3107,9.02,28025.14,90%,0.0721,-2.25
2025-02-28,MGLU3,708,7.31,5175.48,ONCO3,1000,5.06,5060.0,99%,0.0014,2.29
2025-02-28,MGLU3,1000,7.31,7310.0,ONCO3,1099,5.06,5560.94,99%,0.0019,-2.57
2025-02-28,AZUL4,-895,3.88,-3472.6,BBSE3,1000,38.45,38450.0,0%,0.0976,2.47
2025-02-28,SLCE3,9,18.17,163.53,BBSE3,1000,38.45,38450.0,95%,0.0269,2.42
2025-02-28,AZUL4,1000,3.88,3880.0,ONCO3,844,5.06,4270.64,90%,0.081,-2.29
2025-02-28,SLCE3,198,18.17,3597.66,TOTS3,1000,35.81,35810.0,95%,0.0258,3.09
2025-02-28,MRVE3,1000,4.71,4710.0,SLCE3,-299,18.17,-5432.83,95%,0.0195,-2.01
2025-02-28,ONCO3,-1107,5.06,-5601.42,MRFG3,1000,15.17,15170.0,99%,0.0074,2.11
2025-02-28,UGPA3,1000,17.1,17100.0,ONCO3,1225,5.06,6198.5,90%,0.0675,-2.64
2025-02-28,AZZA3,1000,27.07,27070.0,UGPA3,2666,17.1,45588.6,95%,0.0456,-2.22
2025-02-28,HYPE3,1000,19.26,19260.0,ONCO3,1979,5.06,10013.74,95%,0.0334,-2.48
2025-02-28,AZZA3,1000,27.07,27070.0,ONCO3,3475,5.06,17583.5,99%,0.0011,-4.09
2025-02-28,AURE3,1000,7.96,7960.0,ONCO3,682,5.06,3450.92,95%,0.0441,-3.9
2025-02-28,POMO4,1000,7.15,7150.0,CMIG4,884,11.26,9953.84,90%,0.0936,-2.14
2025-02-28,POMO4,899,7.15,6427.85,CMIG4,1000,11.26,11260.0,90%,0.0659,2.33
